Virus,TickFamily,TickGenera
African swine fever virus,Argasidae,Ornithodoros
Canine circovirus,Ixodidae,Haemaphysalis
Canine circovirus,Ixodidae,Rhipicephalus
Avian-like circovirus,Ixodidae,Ixodes
Nayun tick torquevirus,Ixodidae,Rhipicephalus
Lone star tick densovirus 1,Ixodidae,Ixodes
Colorado tick fever virus,Ixodidae,Dermacentor
Colorado tick fever virus,Ixodidae,Haemaphysalis
Colorado tick fever virus,Ixodidae,Ixodes
Colorado tick fever virus,Argasidae,Otobius
Eyach virus,Ixodidae,Ixodes
Kundal virus,Ixodidae,Hyalomma
Tarumizu tick virus,Ixodidae,Haemaphysalis 
Chenuda virus,Argasidae,Argas
Chobar Gorge virus,Argasidae,Ornithodoros
Great Island virus,Ixodidae,Ixodes
Kemerovo virus,Ixodidae,Ixodes
Lipovnik virus,Ixodidae,Ixodes
Tribec virus,Ixodidae,Ixodes
Tribec virus,Ixodidae,Haemaphysalis 
St Croix River virus,Ixodidae,Ixodes
St Croix River virus,Ixodidae,Rhipicephalus
Baku virus,Argasidae,Ornithodoros
Matucare virus ,Argasidae,Otobius
Okhotskiy virus,Ixodidae,Ixodes
Wad Medani virus,Ixodidae,Hyalomma
Wad Medani virus,Ixodidae,Rhipicephalus
Norway partiti-like virus 1,Ixodidae,Ixodes
Lonestar tick totivirus,Ixodidae,Ixodes
Fennes virus ,Ixodidae,Ixodes
Shelly Beach virus ,Ixodidae,Ixodes
Shelly headland virus,Ixodidae,Ixodes
Lonestar tick chuvirus 1,Ixodidae,Amblyomma 
Bole tick virus 3,Ixodidae,Hyalomma
Bole tick virus 3,Ixodidae,Rhipicephalus
Changping tick virus 2,Ixodidae,Rhipicephalus
Changping tick virus 2,Ixodidae,Dermacentor
Changping tick virus 2,Ixodidae,Haemaphysalis
Changping tick virus 3,Ixodidae,Dermacentor
Genoa virus ,Ixodidae,Ixodes
Suffolk virus,Ixodidae,Ixodes
Wuhan tick virus 2,Ixodidae,Rhipicephalus
Wuhan tick virus 2,Ixodidae,Haemaphysalis 
Wuhan mivirus ,Ixodidae,Rhipicephalus
Wuhan mivirus ,Ixodidae,Haemaphysalis 
Tacheng tick virus 4,Argasidae,Argas
Blacklegged tick chuvirus 2,Ixodidae,Ixodes
Tacheng tick virus 6,Argasidae,Argas
Grotenhout virus,Ixodidae,Ixodes
Abu Hammad virus,Argasidae,Argas
Abu Mina virus,Argasidae,Argas
Artashat virus,Argasidae,Ornithodoros
Avalon virus,Ixodidae,Ixodes
Burana virus,Ixodidae,Haemaphysalis
Chim virus,Argasidae,Ornithodoros
Crimean-Congo hemorrhagic fever virus,Ixodidae,Hyalomma
Crimean-Congo hemorrhagic fever virus,Ixodidae,Ixodes
Crimean-Congo hemorrhagic fever virus,Ixodidae,Rhipicephalus
Dera Ghazi Khan virus,Ixodidae,Hyalomma
Dugbe virus,Ixodidae,Hyalomma
Dugbe virus,Ixodidae,Amblyomma
Dugbe virus,Ixodidae,Boophilus
Dugbe virus,Ixodidae,Rhipicephalus
Estero Real virus,Argasidae,Ornithodoros
Hazara virus,Ixodidae,Ixodes
Huangpi tick virus 1,Ixodidae,Haemaphysalis
Caspiy virus,Argasidae,Unknown Argasidae
Farallon virus,Argasidae,Ornithodoros
Great Saltee virus,Argasidae,Ornithodoros
Hughes virus,Argasidae,Ornithodoros
Raza virus,Argasidae,Ornithodoros
Issyk-kul virus,Argasidae,Argas
Kasokero virus,Argasidae,Ornithodoros
Keterah virus,Argasidae,Unknown Argasidae
Kupe virus,Ixodidae,Amblyomma 
Kupe virus,Ixodidae,Rhipicephalus
Meram virus,Ixodidae,Hyalomma
Nairobi sheep disease virus,Ixodidae,Amblyomma 
Nairobi sheep disease virus,Ixodidae,Haemaphysalis
Nairobi sheep disease virus,Ixodidae,Rhipicephalus
Pacific coast tick nairovirus,Ixodidae,Dermacentor
Punta Salinas virus,Argasidae,Ornithodoros
Bandia virus,Argasidae,Ornithodoros
Geran virus,Argasidae,Ornithodoros
Qalyub virus,Argasidae,Ornithodoros
Clo Mor virus,Argasidae,Argas
Clo Mor virus,Ixodidae,Ixodes
Sakhalin virus,Ixodidae,Ixodes
Taggert virus,Ixodidae,Ixodes
Tillamook virus,Ixodidae,Ixodes
Soldado virus,Argasidae,Ornithodoros
Tacheng tick virus 1,Ixodidae,Dermacentor
Tacheng tick virus 1,Ixodidae,Hyalomma
Tamdy virus,Ixodidae,Hyalomma
Tofla virus,Ixodidae,Haemaphysalis
Tunis virus,Argasidae,Argas
Vinegar Hill virus,Argasidae,Argas
Wenzhou tick virus,Ixodidae,Haemaphysalis
South Bay virus,Ixodidae,Haemaphysalis
South Bay virus,Ixodidae,Dermacentor
South Bay virus,Ixodidae,Ixodes
Midway virus,Argasidae,Ornithodoros
Nyamanini virus,Argasidae,Argas
Sierra Nevada virus,Argasidae,Ornithodoros
Johnston Atoll virus,Argasidae,Ornithodoros
Quaranfil virus,Argasidae,Argas
Dhori virus,Ixodidae,Hyalomma
Jos virus,Ixodidae,Amblyomma
Jos virus,Ixodidae,Rhipicephalus
Thogoto virus,Ixodidae,Rhipicephalus
Thogoto virus,Ixodidae,Hyalomma
Thogoto virus,Ixodidae,Boophilus
Thogoto virus,Ixodidae,Amblyomma
Ngari virus,Ixodidae,Amblyomma
Ngari virus,Ixodidae,Rhipicephalus
Matruh virus,Ixodidae,Hyalomma
Bahig virus,Ixodidae,Hyalomma
Bhanja virus,Ixodidae,Haemaphysalis 
Bhanja virus,Ixodidae,Rhipicephalus
Heartland virus,Ixodidae,Amblyomma
Hunter Island virus,Ixodidae,Ixodes
lone star virus,Ixodidae,Amblyomma
Severe fever with thrombocytopenia syndrome virus,Ixodidae,Dermacentor
Severe fever with thrombocytopenia syndrome virus,Ixodidae,Haemaphysalis
Severe fever with thrombocytopenia syndrome virus,Ixodidae,Ixodes
Severe fever with thrombocytopenia syndrome virus,Ixodidae,Rhipicephalus 
Norway phlebovirus 1,Ixodidae,Ixodes
Blacklegged tick phlebovirus 3,Ixodidae,Ixodes
Laurel Lake virus,Ixodidae,Ixodes
Dabieshan tick virus ,Ixodidae,Haemaphysalis
Dabieshan tick virus ,Ixodidae,Ixodes
Dabieshan tick virus ,Ixodidae,Rhipicephalus
Kaisodi virus,Ixodidae,Haemaphysalis
Lihan tick virus,Ixodidae,Dermacentor
Lihan tick virus,Ixodidae,Hyalomma
Lihan tick virus,Ixodidae,Rhipicephalus
Silverwater virus,Ixodidae,Haemaphysalis
Tacheng tick virus 2,Ixodidae,Dermacentor
Tacheng tick virus 2,Ixodidae,Rhipicephalus
Uukuniemi virus ,Ixodidae,Ixodes
Yongjia tick virus 1,Ixodidae,Haemaphysalis
Blanchseco virus,Ixodidae,Amblyomma
Bole tick virus 2,Ixodidae,Hyalomma
Wuhan tick virus 1,Ixodidae,Rhipicephalus
Wuhan tick virus 1,Ixodidae,Haemaphysalis
Wuhan tick virus 1,Ixodidae,Dermacentor
New Kent County virus,Ixodidae,Ixodes
Barur virus,Ixodidae,Hyalomma
Kolente virus,Ixodidae,Amblyomma
Yongjia tick virus 2,Ixodidae,Haemaphysalis
Connecticut virus,Ixodidae,Ixodes
Long Island tick rhabdovirus,Ixodidae,Amblyomma
New Minto virus,Ixodidae,Haemaphysalis
Sawgrass virus,Ixodidae,Dermacentor
Sawgrass virus,Ixodidae,Haemaphysalis
Isfahan virus,Ixodidae,Hyalomma
Zahedan rhabdovirus,Ixodidae,Hyalomma
Beiji nairovirus,Ixodidae,Ixodes
Nayun tick nairovirus,Ixodidae,Rhipicephalus 
Norway nairovirus 1,Ixodidae,Ixodes
Paramushir virus,Ixodidae,Ixodes
Rondonia orthonairovirus,Argasidae,Antricola
Songling virus,Ixodidae,Haemaphysalis
Yezo virus,Ixodidae,Haemaphysalis
Zambezi tick virus 1,Ixodidae,Rhipicephalus 
Aransas Bay virus,Argasidae,Ornithodoros
Bourbon virus,Ixodidae,Amblyomma
Oz virus,Ixodidae,Amblyomma
Thailand tick thogotovirus,Ixodidae,Rhipicephalus 
Upolu virus,Argasidae,Ornithodoros
American dog tick phlebovirus,Ixodidae,Dermacentor
Blacklegged tick phlebovirus 1,Ixodidae,Ixodes
Blacklegged tick phlebovirus 2,Ixodidae,Ixodes
Bole tick virus 1,Ixodidae,Hyalomma
Brown dog tick phlebovirus 1,Ixodidae,Rhipicephalus 
Brown dog tick phlebovirus 2,Ixodidae,Rhipicephalus 
Changping tick virus 1,Ixodidae,Dermacentor 
Lanjan virus,Ixodidae,Dermacentor 
Palma virus,Ixodidae,Haemaphysalis
Rhipicephalus associated phlebovirus 1,Ixodidae,Rhipicephalus 
Tick phlebovirus Anatolia 1,Ixodidae,Rhipicephalus 
Neke harbour virus,Ixodidae,Ixodes
Uumaja virus,Ixodidae,Ixodes
Khasan virus,Ixodidae,Haemaphysalis
American dog tick rhabdovirus 2,Ixodidae,Ixodes
Blacklegged tick rhabdovirus 1,Ixodidae,Ixodes
Dog tick rhabdovirus 1,Ixodidae,Ixodes
Huangpi tick virus 3,Ixodidae,Haemaphysalis
Nayun tick rhabdovirus ,Ixodidae,Rhipicephalus 
Rhipicephalus associated rhabdo-like virus,Ixodidae,Rhipicephalus 
Rhipicephalus associated rhabdo-like virus,Ixodidae,Haemaphysalis
Tacheng tick virus 3,Ixodidae,Dermacentor 
Tacheng tick virus 7,Argasidae,Argas
Taishun tick virus,Ixodidae,Haemaphysalis
Deer tick mononegavirales-like virus,Ixodidae,Dermacentor
Deer tick mononegavirales-like virus,Ixodidae,Haemaphysalis
Deer tick mononegavirales-like virus,Ixodidae,Ixodes
Bonden virus ,Ixodidae,Ixodes
Bronnoya virus ,Ixodidae,Ixodes
Ubmeje virus ,Ixodidae,Ixodes
Norway mononegavirus 1 ,Ixodidae,Ixodes
Tick mononegavirus,Ixodidae,Ixodes
Tick mononegavirus,Ixodidae,Haemaphysalis
Umea virus,Ixodidae,Ixodes
Canne point virus,Ixodidae,
Fairlight virus,Ixodidae,
Manly virus,Ixodidae,
Messner virus,Ixodidae,Ixodes
North Shore virus ,Ixodidae,Ixodes
Old quarry swamp virus,Ixodidae,Ixodes
Piguzov virus,Ixodidae,Ixodes
Quarantine Head virus ,Ixodidae,
Ronne virus,Ixodidae,Ixodes
Tacheng tick virus 5,Ixodidae,Dermacentor 
Timbillica virus ,Ixodidae,Ixodes
Gadgets Gully virus,Ixodidae,Ixodes
Kadam virus,Ixodidae,Rhipicephalus 
Alkhumra hemorrhagic fever virus,Argasidae,Ornithodoros
Alkhumra hemorrhagic fever virus,Ixodidae,Haemaphysalis
Langat virus,Ixodidae,Ixodes
Louping ill virus,Ixodidae,Ixodes
Meaban virus,Argasidae,Ornithodoros
Omsk hemorrhagic fever virus,Ixodidae,Dermacentor 
Deer tick virus,Ixodidae,Ixodes
Powassan virus,Ixodidae,Ixodes
Karshi virus,Argasidae,Argas
Karshi virus,Argasidae,Ornithodoros
Saumarez Reef virus,Argasidae,Ornithodoros
